"Rank","Player","Team","Positions","Best","Worst","Avg","Std Dev"
"1","James Harden","HOU","PG,SG","1","6","2.5","1.6"
"2","Anthony Davis","LAL","PF,C","1","7","2.8","1.7"
"3","Luka Doncic","DAL","PG","1","15","3.5","3.8"
"4","Karl-Anthony Towns","MIN","C","2","6","4.3","1.4"
"5","Giannis Antetokounmpo","MIL","SF,PF","1","8","4.6","1.8"
"6","Nikola Jokic","DEN","PF,C","2","8","5.5","1.8"
"7","Damian Lillard","POR","PG","4","11","7.5","1.9"
"8","Stephen Curry","GSW","PG,SG","5","10","7.7","2.0"
"9","Trae Young","ATL","PG","5","26","10.1","4.9"
"10","Jayson Tatum","BOS","SF,PF","8","16","10.6","2.2"
"11","LeBron James","LAL","PG,SG,SF,PF","7","22","12.2","4.1"
"12","Kawhi Leonard","LAC","SG,SF","5","17","12.4","3.0"
"13","Devin Booker","PHO","PG,SG","10","33","14.2","5.8"
"14","Joel Embiid","PHI","PF,C","11","20","14.6","2.2"
"15","Kevin Durant","BKN","SF,PF","12","27","15.5","3.9"
"16","Bam Adebayo","MIA","PF,C","13","23","16.6","2.6"
"17","Bradley Beal","WAS","SG","12","23","17.5","3.6"
"18","Deandre Ayton","PHO","C","11","24","18.3","3.1"
"19","Jimmy Butler","MIA","SG,SF","15","28","19.5","3.3"
"20","John Collins","ATL","PF,C","7","28","21.2","5.1"
"21","Ben Simmons","PHI","PG","16","30","23.2","4.3"
"22","Shai Gilgeous-Alexander","OKC","SG,SF,PG","18","35","24.7","5.3"
"23","Russell Westbrook","WAS","PG","20","39","25.6","6.3"
"24","Paul George","LAC","SF,PF","17","37","25.8","5.6"
"25","Kyrie Irving","BKN","PG,SG","9","40","26.5","8.6"
"26","Nikola Vucevic","ORL","PF,C","21","36","27.5","4.4"
"27","Rudy Gobert","UTH","C","20","39","29.2","5.2"
"28","Pascal Siakam","TOR","PF","21","40","29.5","4.6"
"29","Zach LaVine","CHI","SG,SF","23","44","32.5","5.7"
"30","Andre Drummond","CLE","PF,C","19","55","34.5","10.3"
"31","Brandon Ingram","NOR","SF,PF","25","46","35.8","5.8"
"32","Chris Paul","PHO","PG","29","46","37.5","4.5"
"33","Jrue Holiday","MIL","PG,SG","26","49","38.2","6.1"
"34","Domantas Sabonis","IND","PF,C","28","53","38.4","7.3"
"35","Khris Middleton","MIL","SG,SF","28","47","40.0","5.4"
"36","Christian Wood","HOU","PF,C","32","53","41.0","5.3"
"37","Donovan Mitchell","UTH","PG,SG","15","36","23.6","5.9"
"38","Mitchell Robinson","NYK","C","32","56","44.8","7.9"
