"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","GP","MIN","TO"
"James Harden","HOU","PG,SG","2,143","423","481","55","118",".443",".866","284","67","2,392","300"
"Luka Doncic","DAL","PG","1,998","632","588","20","76",".472",".757","201","67","2,363","278"
"Giannis Antetokounmpo","MIL","SF,PF","1,965","880","381","78","72",".551",".672","90","68","2,179","249"
"Damian Lillard","POR","PG","1,890","283","491","22","69",".455",".897","255","67","2,440","188"
"Devin Booker","PHO","PG,SG","1,870","284","448","18","56",".477",".900","164","68","2,435","256"
"Stephen Curry","GSW","PG,SG","1,794","336","381","23","88",".464",".920","305","65","2,216","210"
"Bradley Beal","WAS","SG","1,753","269","322","30","78",".468",".835","168","65","2,317","200"
"Trae Young","ATL","PG","1,746","260","597","9","64",".441",".864","204","67","2,277","276"
"Karl-Anthony Towns","MIN","C","1,735","762","250","101","67",".510",".815","198","68","2,305","224"
"Donovan Mitchell","UTH","PG,SG","1,722","300","299","16","79",".448",".841","182","69","2,380","191"
"Anthony Davis","LAL","PF,C","1,720","642","212","147","96",".516",".833","71","65","2,223","149"
"Russell Westbrook","WAS","PG","1,705","551","582","23","101",".471",".730","56","66","2,327","279"
"Jayson Tatum","BOS","SF,PF","1,689","485","235","61","91",".448",".817","197","68","2,388","164"
"Kevin Durant","BKN","SF,PF","1,669","400","313","57","45",".511",".878","130","65","2,150","199"
"Zach LaVine","CHI","SG,SF","1,605","299","275","30","90",".454",".813","187","66","2,284","211"
"LeBron James","LAL","PG,SG,SF,PF","1,604","501","593","35","77",".503",".692","129","64","2,166","229"
"Kawhi Leonard","LAC","SG,SF","1,598","437","260","32","104",".472",".871","129","61","2,025","148"
"Zion Williamson","NOR","PF","1,575","473","141","40","56",".591",".656","23","61","1,896","165"
"Pascal Siakam","TOR","PF","1,562","516","233","59","71",".468",".790","133","67","2,440","163"
"Brandon Ingram","NOR","SF,PF","1,561","378","260","45","59",".478",".801","150","66","2,227","194"
"Paul George","LAC","SF,PF","1,550","428","245","27","108",".435",".856","235","65","2,215","172"
"Joel Embiid","PHI","PF,C","1,529","748","207","101","51",".483",".808","71","62","1,979","205"
"Kyrie Irving","BKN","PG,SG","1,528","284","396","25","79",".495",".898","159","63","2,069","159"
"DeMar DeRozan","SAS","SG,SF","1,502","370","380","22","72",".509",".842","12","69","2,361","166"
"Nikola Jokic","DEN","PF,C","1,486","724","513","48","87",".520",".825","86","69","2,276","220"
"Shai Gilgeous-Alexander","OKC","SG,SF,PG","1,460","389","341","49","86",".469",".807","109","67","2,357","155"
"Jamal Murray","DEN","PG,SG","1,453","284","352","20","74",".459",".877","161","67","2,294","165"
"D'Angelo Russell","MIN","PG,SG","1,434","249","426","20","82",".437",".815","217","66","2,094","207"
"CJ McCollum","POR","PG,SG","1,426","268","252","35","51",".458",".787","176","67","2,351","117"
"Khris Middleton","MIL","SG,SF","1,423","411","279","6","67",".473",".886","172","67","2,125","152"
"De'Aaron Fox","SAC","PG","1,403","259","488","32","101",".485",".727","69","66","2,220","206"
"Ja Morant","MEM","PG","1,394","274","531","21","68",".479",".784","79","67","2,231","241"
"Tobias Harris","PHI","SF,PF","1,390","480","216","36","48",".485",".825","137","69","2,401","106"
"Collin Sexton","CLE","PG,SG","1,366","219","222","7","61",".461",".848","109","68","2,321","174"
"Jaylen Brown","BOS","SG,SF","1,330","415","136","27","74",".478",".727","146","66","2,266","151"
"TJ Warren","IND","SF,PF ","1,330","293","111","35","79",".501",".813","105","67","2,259","83"
"Jimmy Butler","MIA","SG,SF","1,316","399","355","39","115",".466",".846","61","66","2,263","135"
"Nikola Vucevic","ORL","PF,C","1,309","708","245","60","61",".493",".789","101","67","2,108","109"
"Gordon Hayward","CHA","SG,SF","1,277","375","285","23","48",".473",".849","117","62","2,128","137"
"Jrue Holiday","MIL","PG,SG","1,277","305","412","50","98",".472",".744","130","66","2,244","188"
"Bojan Bogdanovic","UTH","SF,PF","1,253","274","133","4","41",".466",".872","179","66","2,147","142"
"Kristaps Porzingis","DAL","PF,C ","1,244","539","104","118","43",".439",".794","144","57","1,856","97"
"Deandre Ayton","PHO","C","1,237","730","129","85","50",".575",".759","7","67","2,152","129"
"Andrew Wiggins","GSW","SG,SF","1,211","292","201","50","55",".447",".719","117","68","2,285","140"
"Kelly Oubre Jr.","GSW","SF,PF","1,194","371","95","50","80",".450",".777","139","66","2,145","96"
"Julius Randle","NYK","PF,C","1,190","575","184","24","47",".471",".729","63","66","2,049","183"
"Lou Williams","LAC","PG,SG","1,173","188","340","11","47",".418",".867","110","68","1,836","165"
"John Collins","ATL","PF,C","1,170","557","101","71","39",".567",".783","72","65","1,983","113"
"RJ Barrett","NYK","SG,SF","1,163","361","203","22","69",".420",".657","94","67","2,250","181"
"Coby White","CHI","PG","1,159","286","231","7","63",".405",".803","181","69","2,155","137"
"LaMarcus Aldridge","SAS","PF,C","1,147","461","139","87","39",".502",".836","47","63","1,982","92"
"Christian Wood","HOU","PF,C","1,146","554","82","75","45",".543",".744","86","66","1,876","118"
"Buddy Hield","SAC","SG","1,137","274","168","16","54",".452",".858","202","69","1,879","126"
"Mike Conley","UTH","PG","1,136","217","351","10","66",".434",".828","145","62","2,002","124"
"Evan Fournier","ORL","SG,SF","1,132","182","219","13","70",".449",".817","162","67","2,107","126"
"Domantas Sabonis","IND","PF,C","1,127","753","286","31","46",".544",".724","21","64","2,173","168"
"Fred VanVleet","TOR","PG,SG","1,126","232","412","21","108",".410",".841","173","67","2,242","138"
"Victor Oladipo","IND","PG,SG","1,121","298","267","20","90",".423",".786","125","63","1,963","159"
"Bam Adebayo","MIA","PF,C","1,107","669","312","85","74",".570",".723","1","67","2,202","175"
"Blake Griffin","DET","PF,C","1,101","388","252","22","35",".452",".761","104","56","1,865","158"
"Dillon Brooks","MEM","SG,SF","1,096","231","139","26","61",".411",".797","137","69","1,970","119"
"Andre Drummond","CLE","PF,C","1,095","899","133","97","99",".541",".579","10","69","2,104","206"
"Kyle Lowry","TOR","PG","1,092","310","470","27","88",".416",".849","167","65","2,227","180"
"John Wall","HOU","PG","1,089","216","453","43","81",".433",".723","107","60","1,928","225"
"Kemba Walker","BOS","PG ","1,088","207","246","22","51",".430",".859","157","54","1,712","117"
"Montrezl Harrell","LAL","PF,C","1,088","422","109","80","46",".609",".653","0","67","1,756","100"
"Derrick Rose","DET","PG,SG","1,084","153","308","18","47",".488",".862","57","63","1,656","136"
"Ben Simmons","PHI","PG","1,078","512","525","46","116",".573",".616","0","65","2,257","219"
"Tim Hardaway Jr.","DAL","SG,SF","1,078","224","141","6","44",".430",".821","180","67","2,004","82"
"Dennis Schroder","LAL","PG","1,076","220","297","14","46",".455",".828","105","68","1,962","144"
"Chris Paul","PHO","PG","1,064","305","470","13","101",".472",".881","113","64","1,989","148"
"Caris LeVert","BKN","SG,SF","1,053","248","259","16","71",".437",".710","98","63","1,877","144"
"Malcolm Brogdon","IND","PG,SG","1,051","307","415","12","45",".446",".899","96","64","2,074","143"
"Tyler Herro","MIA","SG,SF","1,046","300","182","12","46",".437",".869","168","66","2,024","115"
"Josh Richardson","DAL","SG,SF","1,046","230","215","43","68",".432",".830","141","67","2,215","120"
"Jusuf Nurkic","POR","C","1,039","666","217","101","69",".506",".771","11","63","1,942","150"
"Michael Porter Jr.","DEN","SF,PF","1,039","459","89","38","51",".490",".813","136","65","1,717","100"
"Danilo Gallinari","ATL","SF,PF","1,035","307","119","11","39",".442",".899","156","62","1,759","81"
"Lauri Markkanen","CHI","PF","1,024","435","91","32","50",".433",".844","145","60","1,946","100"
"Aaron Gordon","ORL","SF,PF","1,021","484","239","41","53",".440",".702","97","66","2,174","114"
"Jonas Valanciunas","MEM","C","1,017","729","122","75","27",".570",".756","30","67","1,772","125"
"Jaren Jackson Jr.","MEM","PF,C","1,015","290","80","94","44",".481",".742","134","57","1,666","106"
"Devonte' Graham","CHA","PG,SG","1,009","193","411","12","62",".383",".818","192","68","2,049","162"
"Anthony Edwards","MIN","SG","1,005","262","169","25","87",".420",".778","109","66","1,989","136"
"Rudy Gobert","UTH","C","1,002","877","108","133","49",".683",".631","0","67","2,238","117"
"Eric Gordon","HOU","SG,SF","1,001","143","110","25","42",".405",".788","192","63","2,016","90"
"Spencer Dinwiddie","BKN","PG,SG","1,000","162","319","18","33",".440",".786","100","66","1,693","136"
"Eric Bledsoe","NOR","PG,SG","992","299","345","25","78",".480",".787","81","65","1,847","157"
"Rui Hachimura","WAS","SF,PF","988","447","128","11","62",".484",".830","41","67","2,193","81"
"Malik Beasley","MIN","PG,SG","987","204","108","13","67",".452",".824","194","66","1,879","82"
"Terrence Ross","ORL","SG,SF","984","214","90","21","70",".415",".853","175","67","1,831","69"
"Kevin Love","CLE","PF,C","982","538","162","18","31",".445",".865","144","60","1,794","135"
"Harrison Barnes","SAC","SF,PF","974","309","132","12","40",".454",".811","95","69","2,226","78"
"Jordan Clarkson","UTH","PG,SG","966","175","147","16","41",".462",".851","124","68","1,560","91"
"Darius Garland","CLE","PG","966","132","279","7","52",".412",".884","140","68","2,163","181"
"LaMelo Ball","CHA","PG,SG","948","298","406","19","76",".409",".730","121","66","1,909","183"
"Obi Toppin","NYK","SF,PF","942","442","96","64","47",".500",".710","65","68","1,989","118"
"PJ Washington","CHA","SF,PF","939","392","156","57","64",".463",".674","114","68","2,187","122"
"Marvin Bagley III","SAC","PF,C","933","470","57","56","34",".496",".747","26","61","1,674","96"
"Serge Ibaka","LAC","PF,C","933","508","81","61","26",".509",".735","70","65","1,762","109"
"Jerami Grant","DET","SF,PF","933","352","86","71","53",".479",".739","105","69","2,163","66"
"JJ Redick","NOR","SG","931","151","129","11","21",".456",".897","177","65","1,628","75"
"Joe Harris","BKN","SG,SF","914","263","135","15","37",".497",".770","158","67","2,054","100"
"Goran Dragic","MIA","PG,SG","904","185","285","10","40",".439",".772","115","57","1,637","132"
"Bogdan Bogdanovic","ATL","SG,SF,PF","902","211","215","14","62",".437",".784","150","65","1,833","108"
"Markelle Fultz","ORL","PG,SG","895","244","375","14","90",".460",".737","48","67","2,072","146"
"Davis Bertans","WAS","PF,C","880","272","109","37","42",".429",".846","208","65","1,828","68"
"Brandon Clarke","MEM","PF,C","878","430","101","65","42",".613",".775","35","67","1,597","72"
"Duncan Robinson","MIA","SG,SF","872","209","100","17","38",".469",".895","241","68","1,970","58"
